"Offense","Count"
"ATTEMPT LEWDNESS WITH A MINOR",1
"ATTEMPT SEXUAL ABUSE",1
"ATTEMPT SEXUAL ASSAULT ON A CHILD",1
"ATTEMPT SEXUAL ASSAULT ON CHILD",1
"ATTEMPT TO COMMIT CRIMINAL SEXUAL PENETRATION OF A MINOR",1
"ATTEMPT TO COMMIT SEXUAL ASSAULT ON A CHILD UNDER THE AGE OF 16 YEARS",1
"ATTEMPT TO COMMIT SEXUAL CONDUCT WITH A MINOR",1
"ATTEMPT TO COMMIT SEXUAL PENETRATION WITH OBJECT",1
"ATTEMPT TO ENTICE A MINOR TO ENGAGE IN PROHIBITITED SEXUAL ACTIVITY",1
"ATTEMPT TO ENTICE CHILD ON INTERNET",1
"ATTEMPTED 1ST DEGREE FORCIBLE SEXUAL ASSAULT",1
"ATTEMPTED 1ST DEGREE SEX ASSAULT F3",1
"ATTEMPTED AGE MISREP W/INTENT SOLCT MINOR",1
"ATTEMPTED AGG CRIMINAL SODOMY",1
"ATTEMPTED AGG INDECENT LIBERTIES",1
"ATTEMPTED AGG INDECENT LIBERTIES W/CHILD",1
"ATTEMPTED AGGRAVATED CRIMINAL SEXUAL ABUSE",1
"ATTEMPTED AGGRAVATED CRIMINAL SEXUAL ASSAULT",1
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES W/CHILD <14 LEWD FONDLING/TOUCHING",1
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES W/CHILD <14, LEWD FONDLING/TOUCHING",1
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES WITH MINOR",1
"ATTEMPTED AGGRAVATED INDENCENT LIBERTIES W/CHILD",1
"ATTEMPTED AGGRAVATED SEXUAL ABUSE OF A CHILD",1
"ATTEMPTED AGGRAVATED SEXUAL ASSAULT",1
"ATTEMPTED ATM FORC RAPE-WEP/INJ->1/VIC<12",1
"ATTEMPTED ATMP STAT SOD-1ST-INJ/WEP-VIC<12",1
"ATTEMPTED ATTEMPT FORCIBLE SODOMY",1
"ATTEMPTED CAPITAL SEXUAL BATTERY",1
"ATTEMPTED CHILD MOLES-1ST DEG-INJRY",1
"ATTEMPTED CHILD MOLEST-2ND DEGREE",1
"ATTEMPTED CRIMINAL SEXUAL CONDUCT",1
"ATTEMPTED CRIMINAL SEXUAL CONDUCT 1ST DEGREE",1
"ATTEMPTED CRIMINAL SEXUAL CONDUCT 3RD DEGREE",1
"ATTEMPTED CRIMINAL SODOMY WITH A CHILD",1
"ATTEMPTED DV SEX ASLT 1ST DDW/INJ",1
"ATTEMPTED ELECTRONIC SOLICITATION",1
"ATTEMPTED ENTICEMENT OVER INTERNET OF A MINOR TO ENGAGE IN ILLEGAL SEXUAL ACTIVITY",1
"ATTEMPTED ENTICING A MINOR OVER THE INTERNET",1
"ATTEMPTED FELONY CRIMINAL SEXUAL CONDUCT 2ND DEGREE",1
"ATTEMPTED FORCIBLE SODOMY",1
"ATTEMPTED GROSS SEXUAL ASSAULT",1
"ATTEMPTED INCEST",1
"ATTEMPTED INDECENCY WITH A CHILD BY EXPOSURE",1
"ATTEMPTED INDECENT LIBERTIES",1
"ATTEMPTED INDECENT LIBERTIES WITH CHILD",1
"ATTEMPTED INDECENT SOLICITATION OF CHILD",1
"ATTEMPTED LEWD & LASCIVIOUS ACT",1
"ATTEMPTED LEWD AND LASCIVIOUS ACTS",1
"ATTEMPTED LEWD AND LASCIVIOUS CONDUCT WITH MINOR",1
"ATTEMPTED LEWD OR LASCIVIOUS CONDUCT ON A CHILD",1
"ATTEMPTED LEWDNESS W/FEMALE UNDER 18",1
"ATTEMPTED MOLESTATION",1
"ATTEMPTED MOLESTATION OF A CHILD",1
"ATTEMPTED ORAL COPULATION",1
"ATTEMPTED POSSESS CHILD PORN-2ND OFFENSE",1
"ATTEMPTED PROMOTING OBSCENITY-1ST DEGREE",1
"ATTEMPTED RAPE 2ND DEGREE",1
"ATTEMPTED RAPE,SEX INTERCOURSE W CHILD LESS THAN 14",1
"ATTEMPTED SEX ABUSE 3RD DEGREE",1
"ATTEMPTED SEX ASSAULT",1
"ATTEMPTED SEX ASSLT 1ST INJ/WEAPON",1
"ATTEMPTED SEXUAL ABUSE 1ST",1
"ATTEMPTED SEXUAL ASLT 2ND DEG",1
"ATTEMPTED SEXUAL ASSAULT-FORCE",1
"ATTEMPTED SEXUAL ASSAULT-INTERNET LURING OF A CHILD",1
"ATTEMPTED SEXUAL ASSAULT 1ST DEGREE",1
"ATTEMPTED SEXUAL ASSAULT OF A CHILD 1ST DEGREE",1
"ATTEMPTED SEXUAL ASSAULT OF A MINOR",1
"ATTEMPTED SEXUAL ASSAULT WITH CHILD",1
"ATTEMPTED SEXUAL BATTERY-CHILD",1
"ATTEMPTED SEXUAL BATTERY;ATTEMPTED ANAL INTERCOURSE",1
"ATTEMPTED SEXUAL EXPLOITATION OF A CHILD",1
"ATTEMPTED SEXUAL EXPLOITATION OF A MINOR",1
"ATTEMPTED SEXUAL EXPLOTATION OF CHILD",1
"ATTEMPTED SEXUAL MISCONDUCT",1
"ATTEMPTED STATUTORY RAPE 1ST DEGREE",1
"ATTEMPTED UNLAWFUL SEX WITH A MINOR THROUGH INTERSTATE COMMERCE",1
"ATTEMPTED UNLAWFUL SEXUAL INTERCOURSE",1
"ATTEMPTED USE CHILD-SEXUAL PERFORM",1
"ATTEMPTED USE OF A CHILD IN A SEXUAL PERFORMANCE",1
"ATTEMPTED/CHILD SEDUCTION",1
"ATTEMTED 1ST DEGREE SEX OFFENSE",1
"ATTEMTPED AGGRAVATED INDECENT LIBERTIES WITH A CHILD",1
"BURGLARY (SEXUALLY MOTIVATED)",1
"BURGLARY 1ST WITH SEXUAL MOTIVATION",1
"CARNAL KNOWLEDGE WITH A CHILD",1
"CARNAL KNOWLEDGE/INDECENT ACTS WITH CHILD UNDER 16",1
"CAUSE/PERMIT INJURY/SEX ABUSE TO A CHILD",1
"CAUSE/PROCURE/PERMIT INJURY OR SEX ABUSE TO CHILD",1
"CERTAIN ACTIVITIES RELATING TO MATERIAL CONSTITUTING OR CONTAINING CHILD PORNOGRAPHY",1
"CHILD ABUSE",1
"CHILD ABUSE-SER EMOT INJ",1
"CHILD ABUSE - MOLESTATION",1
"CHILD ABUSE (OF A SEXUAL NATURE)",1
"CHILD ABUSE BY A PARENT",1
"CHILD CRIMINAL SEXUAL CONTACT",1
"CHILD ENDANGERMENT PERMITTING SEXUAL ABUSE OF A CHILD",1
"CHILD FONDLING UNDER 16",1
"CHILD MOLESTATION - FONDLING",1
"CHILD MOLESTATION 1ST",1
"CHILD MOLESTATION 1ST DEGREE OFFENDER MOVED TO SANTA BARBARA CALIFORNIA",1
"CHILD MOLESTATION 2ND",1
"CHILD MOLESTATION 3RD",1
"CHILD MOLESTATION 3RD DEGREE",1
"CHILD PORN ON COUMPUTER",1
"CHILD PORNOGRAPHY ON COMPUTER",1
"CHILD PORNOGRAPHY ON THE COMPUTER",1
"CHILD PORNOGRAPHY VIA COMPUTER",1
"CHILD PROSTITUTION",1
"CHILD SEXUAL ABUSE",1
"CHILD/SEX-PROMOTION",1
"COERCION (SEXUALLY MOTIVATED)",1
"COERCION OR ENTICEMENT OF FEMALE",1
"COMMIT CARNAL KNOWLEDGE",1
"COMMUNICATE WITH A MINOR FOR IMMORAL PURPOSE",1
"COMMUNICATE WITH A MINOR FOR IMMORAL PURPOSES",1
"COMMUNICATE WITH MINOR FOR IMMORAL PURPOSES",1
"COMPUTER ENTICEMENT W/MINOR",1
"CONSENTING TO PARTICIPATION OF MINOR IN CHILD PORNOGRAPHY",1
"CONSPIRACY SODOMY",1
"CONSPIRACY STATUTORY RAPE-1ST DEGRE",1
"CONSPIRACY STATUTORY SODOMY-2ND DEG",1
"CONSPIRACY TO COMMIT AGGRAVATED SEXUAL ABUSE",1
"CONSPIRACY TO COMMIT RAPE",1
"CONSPIRACY TO COMMIT SOLICITATION OF A MINOR",1
"CONSPIRACY TO ENGAGE IN SEX TRAFFICKING OF A MINOR",1
"CONSPIRACY TO TRANSPORT CHILD PORNOGRAPHY",1
"CONTINUOUS LEWD AND LASCIVIOUS CONDUCT WITH A CHILD UNDER 14",1
"CORRUPTION OF A MINOR/SEXUAL INTERCOURSE",1
"CRIMES AGAINST CHILDREN/LEWD OR LASCIOUS BEHAVIOR",1
"CRIMES AGAINST CHILDREN/LEWD OR LASCIVIOUS",1
"CRIMES AGAINST CHILDREN/LEWD OR LASCIVOUS ACTS",1
"CRIMINAL ATTEMPT-SEXUAL ABUSE 1ST DEGREE",1
"CRIMINAL ATTEMPT RAPE 1ST DEGREE",1
"CRIMINAL ATTEMPT TO COMMIT SEXUAL ASSAULT ON A CHILD",1
"CRIMINAL CHILD ENTICEMENT",1
"CRIMINAL SEXUAL ABUSE (M) 1995",1
"CRIMINAL SEXUAL ABUSE (M)1995",1
"CRIMINAL SEXUAL ABUSE/VICTIM 13-17",1
"CRIMINAL SEXUAL ASSAULT-FORCE/THREAT",1
"CRIMINAL SEXUAL ASSAULT 2ND DEGREE",1
"CRIMINAL SEXUAL ASSAULT 4TH DEGREE",1
"CRIMINAL SEXUAL ASSAULT WITH FORCE",1
"CRIMINAL SEXUAL ASSAULT/BODILY HARM",1
"CRIMINAL SEXUAL ASSAULT/CANT CONSENT",1
"CRIMINAL SEXUAL ASSAULT/FORCE",1
"CRIMINAL SEXUAL ASSAULT/SODOMY",1
"CRIMINAL SEXUAL ASSAULT/VICTIM 13-17",1
"CRIMINAL SEXUAL CONDUCT-SEXUAL ASSAULT",1
"CRIMINAL SEXUAL CONDUCT - 4TH DEGREE (FORCE OR COERCION)",1
"CRIMINAL SEXUAL CONDUCT - FOURTH DEGREE (FORCE OR COERCION)",1
"CRIMINAL SEXUAL CONDUCT 1ST DEGREE - PERSON UNDER 13",1
"CRIMINAL SEXUAL CONDUCT 1ST DEGREE (PERSON UNDER 13)",1
"CRIMINAL SEXUAL CONDUCT 2ND DEG",1
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE (PERSON UNDER 13)",1
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE ASSAULT",1
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE PERSON UNDER 13",1
"CRIMINAL SEXUAL CONDUCT 3RD DEGEGREE",1
"CRIMINAL SEXUAL CONDUCT 4TH (FORCE OR COERCION)",1
"CRIMINAL SEXUAL CONDUCT 4TH DEGREE- VICTIM 13-15 YEARS OLD",1
"CRIMINAL SEXUAL CONDUCT 5TH",1
"CRIMINAL SEXUAL CONDUCT 5TH DEGREE-NONCONSENSUAL SEX CONTACT",1
"CRIMINAL SEXUAL CONDUCT ASSAULT W/ INTENT TO COMMIT SEXUAL PENETRATION",1
"CRIMINAL SEXUAL CONDUCT ASSAULT W/INTENT TO COMMIT SEXUAL PENETRATION",1
"CRIMINAL SEXUAL CONDUCT FIRST DEGREE",1
"CRIMINAL SEXUAL CONDUCT FOURTH DEGREE",1
"CRIMINAL SEXUAL CONDUCT FOUTH DEGREE",1
"CRIMINAL SEXUAL CONDUCT IN THE THIRD DEGREE-FORCE/COERCION",1
"CRIMINAL SEXUAL CONDUCT WITH A MINOR < 11 YEARS OLD 1ST DEGREE",1
"CRIMINAL SEXUAL CONDUCT WITH CHILD UNDER 18",1
"CRIMINAL SEXUAL CONTACT",1
"CRIMINAL SEXUAL CONTACT 2ND DEGREE",1
"CRIMINAL SEXUAL CONTACT OF A MINOR",1
"CRIMINAL SEXUAL CONTACT WITH A MINOR",1
"CRIMINAL SEXUAL CONTACT WITH CHILD",1
"CRIMINAL SEXUAL CONTACT WITH MINOR 4TH DEGREE",1
"CRIMINAL SEXUAL MISC",1
"CRIMINAL SEXUAL MISCONDUCT 4TH DEGREE",1
"CRIMINAL SODOMY 14-16",1
"CRIMINAL SOLICITATION OF A MINOR",1
"CRUELTY TO A CHILD",1
"CRUELTY TO CHILDREN",1
"CUSTODIAL SEXUAL MISCONDUCT",1
"DEVIATE SEXUAL ABUSE",1
"DISORDERLY CONDUCT - PROSTITUTION",1
"DISORDERLY CONDUCT/SOLICIT LEWD ACT",1
"DISORDERLY CONDUCT:SOLICIT LEWD ACT",1
"DISORDERLY CONDUCT:SOLICITATE LEWD ACT",1
"DIST/POSS OR VIEW SEX EXPLICIT CHILD MATERIAL",1
"DISTRIBUTE OBSCENE MATERIAL TO MINOR",1
"DISTRIBUTE/POSSESS OR VIEW SEXUAL EXPLICIT CHILD MATERIAL",1
"DISTRIBUTE/POSSESS OR VIEW SEXUALY EXPLICIT MATERIAL OF A CHILD",1
"DISTRIBUTING OBSCENE MATERIAL TO A MINOR",1
"DISTRUBITION OF OBSCENE MATERIAL/CHILD PORNOGRAPHY",1
"DOMESTIC ASSAULT SEXUALLY MOTIVATED",1
"ELECTRONIC ENTICEMENT OF A CHILD",1
"ELECTRONIC SEXUAL SOLICITATION",1
"ELECTRONIC SEXUAL SOLICITATION OF 14 TO <16 YOA",1
"ELECTRONIC SEXUAL SOLITATION OF MINOR",1
"ELECTRONIC SOLICITATION",1
"ELECTRONIC SOLICITATION OF A MINOR",1
"ENDANDER WELFARE-CHILD-RITUAL/CEREMONY-1ST DEG-2ND/SUBQ",1
"ENDANGERING THE WELFARE OF A CHILD",1
"ENGAGED IN PROHIBITED ACTS",1
"ENGAGED IN PROHIBITED SEXUAL ACTIVITY WITH MINOR THRU INTERSTATE COMMERCE",1
"ENGAGING CHILD IN EXPLICIT CONDUCT",1
"ENGAGING CHILD IN SEXUALLY EXPLICIT CONDUCT",1
"ENTICEMENT OF MINOR ON INTERNET",1
"ENTICEMENT TO ENGAGE IN SEXUAL ACTIVITIES WITH A MINOR FEDERAL CHARGE",1
"ENTICING A CHILD UNDER THE AGE OF 16",1
"ENTICING A MINOR TO ENGAGE IN SEXUAL ACTIVITY",1
"ENTICING MINOR FOR INDECENT PURPOSES",1
"EXHIBT BY PERSON 18 YOA OLDER VICT LESS THAN 16 YOA",1
"EXPLOTATION OF A CHILD",1
"EXPOSED A CHILD TO HARMFUL MATERIAL",1
"FAILURE TO PROTECT/PERMITTING SEXUAL ABUSE",1
"FEDERAL-POSSESS/TRAFFICKING OBSCENE MATERIAL VIA THE INTERNET",1
"FEDERAL CHARGE OBSCENE MATERIAL POSSESS LIFE TIME PAROLE",1
"FELONIOUS SEXUAL PENETRATION",1
"FELONIOUSLY COMMIT FORCIBLE SODOMY CUNNILINGUS",1
"FELONIOUSLY ENGAGE IN THE INANIMATE OBJECT SEXUAL PENETRATION OF A MINOR",1
"FELONY CRIMINAL SEXUAL ASSAULT",1
"FELONY CRIMINAL SEXUAL CONDUCT 1ST DEGREE",1
"FELONY CRIMINAL SEXUAL CONDUCT 2ND DEGREE",1
"FELONY SEXUAL ASSAULT 2ND DEGREE",1
"FIRST DEGREE RAPE BY INSTRUMENTATION",1
"FIRST DEGREE SEXUAL ASSAULT",1
"FIRST DEGREE SEXUAL ASSAULT OF A CHILD",1
"FONDLING/HANDLING CHILD UNDER 16",1
"FORCED ORAL COPULATION",1
"FORCIBLE ORAL COPULATION",1
"FORCIBLE SODOMY UPON MENTALLY ILL PERSON",1
"FOURTH DEGREE SEXUAL ASSAULT",1
"GROSS LEWDNESS & 4 COUNTS CHILD ABUSE",1
"GROSS SEXUAL IMPOSITION 3RD DEGREE",1
"GROSS SEXUAL IMPOSITION 5 CTS",1
"HARMFUL CIRCUMSTANCES",1
"HELD MINOR VICTIM AGAINST HER WILL AND FORCED MINOR VICTIM INTO PROSTITUTION",1
"ILLEGAL USE OF MINOR NUDITY",1
"IMMORAL ACTS WITH A MINOR",1
"IMMORAL AND INDECENT ACTS WITH A MINOR",1
"IMMORAL/INDECENT ACTS WITH A CHILD",1
"IMPORTUNING/SEXUAL SOLICITATION OF A MINOR-3 COUNTS",1
"INAPPROPRIATE LANGUAGE/ATTEMPTED STATUTORY RAPE",1
"INCECENT LIBERTIES W/MINOR",1
"INCEST/RAPE",1
"IND LIBERTIES",1
"INDECENCY OF A CHILD BY EXPOSURE",1
"INDECENCY OF A MINOR",1
"INDECENCY W/ A CHILD EXPOSURE",1
"INDECENCY W/ A CHILD, FONDLING",1
"INDECENCY W/CHILD",1
"INDECENCY W/CHILD SEXUAL CONTACT",1
"INDECENCY WITH A CHILD - FONDLING",1
"INDECENCY WITH A CHILD BY EXPOSURE",1
"INDECENCY WITH A CHILD BY SEXUAL CONTACT",1
"INDECENCY WITH A CHILD EXPOSED",1
"INDECENCY WITH A CHILD EXPOSES",1
"INDECENCY WITH A MINOR",1
"INDECENCY WITH CHILD-EXPOSURE",1
"INDECENCY WITH CHILD BY CONTACT 2ND DEGREE",1
"INDECENCY WITH CHILD BY SEXUAL CONTACT",1
"INDECENCY WITH CHILD SEXUAL CONTACT",1
"INDECENCY WITH/CHILD SEXUAL CONTACT",1
"INDECENT ACT",1
"INDECENT ACT W/CHILD",1
"INDECENT ACT WITH CHILD UNDER 12",1
"INDECENT ACTS AGAINST A MINOR",1
"INDECENT ACTS UPON A CHILD",1
"INDECENT ACTS UPON FEMALE UNDER 16",1
"INDECENT ACTS WITH MINOR",1
"INDECENT ACTS/LIBERTIES W/CHILD",1
"INDECENT ACTS/LIBERTIES WITH A CHILD UNDER 16",1
"INDECENT ACTS/LIBERTIES WITH A MINOR",1
"INDECENT AND LEWD ACTS WITH A CHILD",1
"INDECENT AND LEWD ACTS WITH A MINOR",1
"INDECENT ASSAULT AND BATTERY ON A CHILD",1
"INDECENT ASSAULT AND BATTERY ON A CHILD UNDER 14",1
"INDECENT ASSAULT AND BATTERY ON CHILD UNDER 14",1
"INDECENT ASSAULT AND BATTERY W/ A CHILD UNDER 14",1
"INDECENT ASSAULT OF A CHILD",1
"INDECENT ASSAULT OF A FEMALE",1
"INDECENT ASSAULT TO CHILD UNDER 16",1
"INDECENT ASSAULT W/ A MINOR",1
"INDECENT BEHAVIOR W/JUVENILES",1
"INDECENT BEHAVIOR WITH A JUVENILE",1
"INDECENT BEHAVIOR WITH JUVENILES",1
"INDECENT CONTACT WITH A MINOR",1
"INDECENT CONTACT WITH CHILD",1
"INDECENT CONTACT WITH MINOR",1
"INDECENT EXPOSURE WITH A MINOR",1
"INDECENT EXPOSURE WITH CHILD/INDECENT ACT WITH CHILD",1
"INDECENT LANGUAGE TO A CHILD",1
"INDECENT LANGUAGE TO A CHILD UNDER 16",1
"INDECENT LANGUAGE TO A MINOR",1
"INDECENT LIBERTIES W CHILD",1
"INDECENT LIBERTIES W/ A MINOR CHILD",1
"INDECENT LIBERTIES W/CHILD>14<16 - LEWD FONDLING OR TOUCHING",1
"INDECENT LIBERTIES WITH CHILD BY CUSTODIAN",1
"INDECENT LIBERTIES WITH CHILDREN",1
"INDECENT LIBERTY WITH CHILD",1
"INDECENT LIBERTY WITH MINOR",1
"INDECENT OR OBSCENE EXPOSURE",1
"INDECENT SEXUAL ASSAULT",1
"INDECENT SOLICITATIN OF A MINOR",1
"INDECENT SOLICITATION OF MINOR",1
"INDECENT SOLICITATIONOF A CHILD",1
"INDECENT/LEWD ACTS WITH CHILD",1
"INDECENTLIBERTIES WITH A CHILD",1
"INDECENY WITH CHILD",1
"INDENCENT EXPOSURE",1
"INDENCY WITH A CHILD SEXUAL CONTACT",1
"INDUCE UNDERAGE FOR OBSCENE MATTER",1
"INJURY TO A CHILD THIRD DEGREE/OF A SEXUAL NATURE",1
"INJURY TO A CHILD WITH INTENTION TO DO BODILY INJURY",1
"INJURY TO A MINOR CHILD SEXUALLY",1
"INTENT TO COMMIT SEXUAL ABUSE",1
"INTERCOURSE WITH A MINOR",1
"INTERNET IMPORTUNING",1
"INTERNET INTICEMENT OF A MINOR",1
"INTERNET STALKING OF A CHILD",1
"INTERSTATE TRANSPORT OF A MINOR FOR PROSTUTION",1
"INTERSTATE TRANSPORTATION OF A MINOR FOR CRIMINAL SEXUAL ACTIVITY",1
"INTERSTATE TRANSPORTATION OF MINORS FOR THE PURPOSE OF PROSTITUTION",1
"INTERSTATE TRAVEL FOR CRIMINAL SEXUAL ACTIVITY WITH A MINOR",1
"INTERSTATE TRAVEL TO ENGAGE IN SEX W/CHILD UNDER 12 YRS",1
"INTERSTATE TRAVEL TO ENGAGE IN SEX WITH A MINOR",1
"INTICEMENT OF MINOR VIA INTERNET",1
"INVASION OF PRIVACY NUDITY",1
"INVOLUNTARY DEVIANT SEXUAL INTERCOURSE",1
"INVOLUNTARY SEXUAL BATTERY",1
"JUVENILE OFFENSE AGG INDECENT LIBERITIES WITH CHILD",1
"KIDNAPPING 2",1
"KIDNAPPING 2ND DEGREE",1
"KIDNAPPING ACROSS STATE LINES OF A SEXUAL NATURE",1
"KIDNAPPING WITH INTENT TO HAVE SEX WITH A MINOR",1
"KIDNAPPING/TRANSPORT PERSON IN INTERSTATE COMMERCE",1
"KNOWINGLY ATTEMPTING TO TRANSFER OBSCENE MATERIAL TO A MINOR",1
"KNOWINGLY RECIEVED IMAGES OF CHILD PORNOGRAPHY",1
"KNOWLINGLY RECEIVED CHILD PORNOGRAPHY VIA INTERNET",1
"LACIVIOUS ACTS WITH A CHILD",1
"LACIVIOUS SEXUAL ACTS",1
"LASCIVIOUS ACTS W/CHILD",1
"LASIDOUS ACTS",1
"LEWD & INDECENT ACTS WITH A CHILD",1
"LEWD & LACIVIOUS",1
"LEWD & LACIVIOUS ACTS WITH A CHILD",1
"LEWD & LASCIVIOUS ACT AGAINST CHILD",1
"LEWD & LASCIVIOUS ACT ON CHILD",1
"LEWD & LASCIVIOUS ACT WITH CHILD",1
"LEWD & LASCIVIOUS ACTS W/CHILD",1
"LEWD & LASCIVIOUS ACTS WITH CHILD",1
"LEWD & LASCIVIOUS BEHAVIOR WITH CHILD UNDER 16",1
"LEWD & LASCIVIOUS WITH CHILD",1
"LEWD ACT AGAINST CHILD",1
"LEWD ACT IN PRESENCE OF A MINOR",1
"LEWD ACT ON CHILD",1
"LEWD ACT UPON CHILD",1
"LEWD ACT WITH A CHILD",1
"LEWD ACT WITH CHILD",1
"LEWD ACTS W/CHILD ATT SEXUAL BATTERY W/CHILD",1
"LEWD ACTS WITH A CHILD",1
"LEWD ACTS WITH A MINOR",1
"LEWD ACTS WITH A MINOR/ SEXUAL CONTACT",1
"LEWD ACTS WITH CHILD",1
"LEWD ACTS WITH CHILD UNDER SIXTEEN",1
"LEWD AND LACIVACIOUS ACTS",1
"LEWD AND LACIVIOUS CONDUCT WITH MINOR",1
"LEWD AND LASCIVIOUS",1
"LEWD AND LASCIVIOUS ACT",1
"LEWD AND LASCIVIOUS ACT WITH CHILD UNDER 14",1
"LEWD AND LASCIVIOUS ACTS ON A CHILD UNDER 16",1
"LEWD AND LASCIVIOUS ACTS ON CHILD UNDER 14 YR OLD",1
"LEWD AND LASCIVIOUS ACTS W/CHILD UNDER 14",1
"LEWD AND LASCIVIOUS ACTS WITH A CHILD UNDER 14 YEARS",1
"LEWD AND LASCIVIOUS ACTS WITH A CHILD UNDER AGE 14",1
"LEWD AND LASCIVIOUS ACTS WITH A MINOR",1
"LEWD AND LASCIVIOUS ASSAULT ON A CHILD UNDER 16",1
"LEWD AND LASCIVIOUS BATTERY",1
"LEWD AND LASCIVIOUS BEHAIOR",1
"LEWD AND LASCIVIOUS BEHAVIOR; EXPOSURE > 16",1
"LEWD AND LASCIVIOUS CONDUCT WITH CHILD",1
"LEWD AND LASCIVIOUS CONDUCT WITH MINOR UNDER 16",1
"LEWD AND LASCIVIOUS INDECENT ASSAULT W/CHILD",1
"LEWD AND LASCIVIOUS WITH CHILD UNDER 16 (ATTEMPT)",1
"LEWD AND LASCIVOUIS ACTS",1
"LEWD AND LASCIVOUS ACT W/CHILD",1
"LEWD AND LASCIVOUS ACTS",1
"LEWD ASSAULT ACT",1
"LEWD ASSAULT/SEXUAL BATTERY W/VICTIM UNDER 16",1
"LEWD BEHAVIOR W/ CHILD",1
"LEWD CONDUCT",1
"LEWD CONDUCT WITH MINOR SEXUAL INTERCOURSE",1
"LEWD LACIVIOUS CONDUCT",1
"LEWD LASCIVIOUS CONDUCT W/CHILD",1
"LEWD LASCIVIOUS INDECENT ASSAULT CHILD LESS THAN 16",1
"LEWD MOLESTATION OF A CHILD",1
"LEWD MOLESTATION OR INDECENT PROPOSALS/ACTS TO A CHILD",1
"LEWD OR INDECENT ACTS TO A CHILD",1
"LEWD OR INDECENT ACTS TO CHILD",1
"LEWD OR INDECENT ACTS WITH A CHILD UNDER 16",1
"LEWD OR INDECENT PROPOSALS/ACTS TO A CHILD FELONY",1
"LEWD OR LACIVIOUS ACTS WITH A CHILD",1
"LEWD OR LASC ACT WITH A CHILD",1
"LEWD OR LASCIV ACTS WITH A CHILD UNDER 14",1
"LEWD OR LASCIV ACTS WITH CHILD UNDER 14",1
"LEWD OR LASCIVIOUS ACT W/CHILD UNDER 14",1
"LEWD OR LASCIVIOUS ACT WITH CHILD UNDER 14",1
"LEWD OR LASCIVIOUS ACT WITH MINOR",1
"LEWD OR LASCIVIOUS ACTS",1
"LEWD OR LASCIVIOUS ACTS ON A CHILD UNDER 14 YRS OLD",1
"LEWD OR LASCIVIOUS ACTS OR ASSAULT",1
"LEWD OR LASCIVIOUS ACTS W CHILD UNDER 14",1
"LEWD OR LASCIVIOUS ACTS W/A CHILD",1
"LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14",1
"LEWD OR LASCIVIOUS ACTS WITH A CHILD 14 OR 15",1
"LEWD OR LASCIVIOUS ACTS WITH A CHILD UNDER 14 YEARS OF AGE",1
"LEWD OR LASCIVIOUS ACTS WITH CHILD",1
"LEWD OR LASCIVIOUS BATTERY VICTIM 12-15",1
"LEWD OR LASCIVIOUS BEHAVIOR WITH A CHILD",1
"LEWD OR LASCIVIOUS MOLESTATION OF A CHILD",1
"LEWD OR LASCIVIOUS MOLESTATION OF A CHILD UNDER 18",1
"LEWD OR LASCIVIOUS MOLESTATION OF CHILD",1
"LEWD OR LASCIVIOUS MOLESTATION VICTIM UNDER 12 YEARS OF AGE",1
"LEWD OR LASCIVOUS ACTS W/CHILD UNDER 14",1
"LEWD SEXUAL BATTERY",1
"LEWD/INDECENT ACTS TO CHILD",1
"LEWD/LASCIVIOUS ACTS",1
"LEWD/LASCIVIOUS ACTS BY COMPUTER TRANSMISSION",1
"LEWD/LASCIVIOUS ACTS WITHA CHILD UNDER 16",1
"LEWDNESS INVOLVING A CHILD",1
"LEWDNESS WITH A CHILD",1
"LEWDNESS WITH CHILD",1
"LEWDNESS WITH MINOR",1
"LEWDNESS WITH MINOR UNDER 14",1
"LURING AND ENTICING A MINOR",1
"MAILING OBSCENE MATTER",1
"MAKE/SELL/SOLICIT CHILD PORNOGRAPHY",1
"MASTURBATION IN VIEW OF VICTIM",1
"MISCONDUCT WITH A MINOR",1
"MISD CHILD ANNOYANCE AND FONDLING",1
"MOLEST CHILD",1
"MOLESTATION",1
"MOLESTATION AND FAILURE TO REGISTER",1
"OBSCENE AND OTHER SEXUAL MATERIAL AND PERFORMANCES",1
"OBSCENE MATERAL CHILD PORNOGRAPHY",1
"OBSCENE MATERIAL",1
"OBSCENE MATERIAL-POSSES",1
"OBSCENTITY - SOLICITATION OF JUVENILES VIA INTERNET",1
"OFNDR LOITER W/I 500FT OF SCHOOL",1
"ONE COUNT OF RECEIPT OF CHILD PORNOGRAPHY",1
"ONLINE SOLICITATION OF A MINOR/SEXUAL CONDUCT",1
"OPEN AND GROSS LEWDNESS",1
"ORAL COPULATION BY FORCE",1
"ORAL COPULATION BY FORCE U/14",1
"ORAL COPULATION U/14 OR BY FORCE",1
"ORAL COPULATION W/ PERSON UNDER 16",1
"ORAL COPULATION W/PERSON UNDER 18",1
"ORAL COPULATION WITH A PERSON UNDER 18",1
"ORAL COPULATION WITH PERSON UNDER 14",1
